lang,start,end
fap,17145566,17145775
cae,17145775,17145985
ndv,17145985,17146186
snf,17146186,17146394
sav,17146394,17146590
ble,17146590,17146813
bjt,17146813,17146881
bda,17146881,17146887
cwt,17146887,17146894
dyo,17146894,17147664
bif,17147664,17147886
ccj,17147886,17147894
cou,17147894,17147929
bmf,17147929,17147987
buy,17147987,17148198
kss,17148198,17148260
god,17148260,17148763
dic,17148763,17148825
ney,17148825,17149058
grb,17149058,17149491
lor,17149491,17149858
wib,17149858,17149869
seq,17149869,17149880
wwa,17149880,17149920
gur,17149920,17150329
kus,17150329,17150479
aks,17150479,17150520
bud,17150520,17150672
gng,17150672,17150795
pil,17150795,17150983
nmz,17150983,17151094
xsm,17151094,17151354
tpm,17151354,17151474
kbp,17151474,17151630
las,17151630,17151757
kdh,17151757,17151872
lob,17151872,17152262
klc,17152262,17152273
pfe,17152273,17152727
mcs,17152727,17152739
ldk,17152739,17152828
glj,17152828,17152875
ngb,17152875,17152886
sag,17152886,17153785
idr,17153785,17153796
bdj,17153796,17154018
muh,17154018,17154262
bkc,17154262,17154913
zmz,17154913,17155143
ijc,17155143,17156123
eot,17156123,17156480
aka,17156480,17157738
twi,17157738,17157845
any,17157845,17158273
afu,17158273,17158415
cpn,17158415,17158530
lar,17158530,17158681
nko,17158681,17158929
nlu,17158929,17159039
acd,17159039,17159890
ayg,17159890,17160028
kye,17160028,17161015
akp,17161015,17161280
lip,17161280,17161491
snw,17161491,17161709
avn,17161709,17161892
ewe,17161892,17165270
fon,17165270,17165370
abi,17165370,17165828
igb,17165828,17166110
ged,17166110,17166162
idu,17166162,17166202
enn,17166202,17166267
deg,17166267,17166348
bin,17166348,17166429
ema,17166429,17166504
olm,17166504,17166515
oks,17166515,17166567
izz,17166567,17166610
ikw,17166610,17166728
juk,17166728,17166863
nza,17166863,17166887
ogu,17166887,17166933
gkn,17166933,17167389
ogo,17167389,17167438
elm,17167438,17167443
ibb,17167443,17171427
okb,17171427,17171668
yaz,17171668,17171772
agb,17171772,17171875
nbo,17171875,17171960
iko,17171960,17172206
org,17172206,17172368
bcs,17172368,17172555
umm,17172555,17172593
cch,17172593,17172687
cbo,17172687,17172699
nat,17172699,17172711
cdr,17172711,17172949
etx,17172949,17173495
kcg,17173495,17173939
ldb,17173939,17174039
bqv,17174039,17174050
kaj,17174050,17174350
ikl,17174350,17174406
nin,17174406,17174569
kdp,17174569,17174727
rin,17174727,17174921
pym,17174921,17175041
yer,17175041,17175189
bky,17175189,17175327
btt,17175327,17175407
bgu,17175407,17175419
mcj,17175419,17175431
jgk,17175431,17175590
jjr,17175590,17175668
mbu,17175668,17175787
bbu,17175787,17175958
abm,17175958,17176154
isi,17176154,17176668
nbp,17176668,17176904
eka,17176904,17177238
ken,17177238,17177500
add,17177500,17177694
